Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON
LaMelo Ball,PG,21,CHO,36,36,35.2,8.2,20,0.411,4,10.6,0.376,4.2,9.4,0.45,0.51,2.8,3.4,0.836,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3,22-23
Mo Bamba,C,24,TOT,49,7,15.7,2.4,4.9,0.485,1,2.5,0.387,1.4,2.4,0.59,0.585,0.8,1.3,0.661,1.2,3.4,4.6,0.9,0.3,0.9,0.6,2.1,6.6,22-23
Mo Bamba,C,24,ORL,40,6,17,2.7,5.4,0.495,1.1,2.7,0.398,1.6,2.7,0.594,0.596,0.9,1.3,0.686,1.2,3.4,4.6,1.1,0.3,1,0.6,2.2,7.3,22-23
Mo Bamba,C,24,LAL,9,1,9.8,1.2,3,0.407,0.6,1.8,0.313,0.7,1.2,0.545,0.5,0.7,1.2,0.545,1.2,3.3,4.6,0.4,0.1,0.6,0.9,2.1,3.7,22-23
Paolo Banchero,PF,20,ORL,72,72,33.8,6.7,15.6,0.427,1.2,4,0.298,5.5,11.6,0.471,0.465,5.5,7.4,0.738,1.2,5.7,6.9,3.7,0.8,0.5,2.8,2.2,20,22-23
Desmond Bane,SG,24,MEM,58,58,31.7,7.8,16.2,0.479,2.9,7,0.408,4.9,9.2,0.534,0.568,3.1,3.5,0.883,0.7,4.3,5,4.4,1,0.4,2.2,2.6,21.5,22-23
Dalano Banton,PG,23,TOR,31,2,9,1.8,4.2,0.423,0.5,1.6,0.294,1.3,2.5,0.506,0.481,0.5,0.8,0.708,0.4,1.1,1.5,1.2,0.4,0.4,0.6,1.1,4.6,22-23
Dominick Barlow,PF,19,SAS,28,0,14.6,1.6,3.1,0.535,0,0.1,0,1.6,2.9,0.561,0.535,0.6,0.9,0.72,1.6,2,3.6,0.9,0.4,0.7,0.5,2,3.9,22-23
Harrison Barnes,PF,30,SAC,82,82,32.5,4.6,9.6,0.473,1.6,4.3,0.374,3,5.3,0.553,0.556,4.3,5,0.847,1.1,3.4,4.5,1.6,0.7,0.1,1,1.3,15,22-23
Scottie Barnes,SF,21,TOR,77,76,34.8,6,13.2,0.456,0.8,2.9,0.281,5.2,10.3,0.505,0.487,2.5,3.2,0.772,2.3,4.3,6.6,4.8,1.1,0.8,2,2.2,15.3,22-23
RJ Barrett,SG,22,NYK,73,73,33.9,7,16.1,0.434,1.7,5.3,0.31,5.3,10.8,0.495,0.485,4,5.4,0.74,0.8,4.2,5,2.8,0.4,0.2,2.2,2.5,19.6,22-23
Will Barton,SG,32,TOT,56,2,17.7,2.5,6.5,0.379,1.2,3.2,0.367,1.3,3.3,0.391,0.47,0.7,0.8,0.787,0.3,2.2,2.4,2,0.5,0.2,0.9,1,6.8,22-23
Will Barton,SG,32,WAS,40,0,19.6,2.8,7.1,0.386,1.3,3.5,0.377,1.5,3.7,0.395,0.477,0.9,1.1,0.778,0.3,2.5,2.8,2.4,0.4,0.3,1.1,1,7.7,22-23
Will Barton,SG,32,TOR,16,2,13.2,1.8,4.9,0.354,0.9,2.6,0.333,0.9,2.3,0.378,0.443,0.1,0.1,1,0.3,1.3,1.6,1.1,0.7,0.2,0.2,1.1,4.5,22-23
Charles Bassey,C,22,SAS,35,2,14.5,2.5,3.9,0.644,0.1,0.2,0.375,2.4,3.6,0.661,0.656,0.6,1.1,0.595,2.1,3.4,5.5,1.3,0.5,0.9,1.2,2.1,5.7,22-23
Keita Bates-Diop,PF,27,SAS,67,42,21.7,3.5,6.9,0.508,0.8,2.1,0.394,2.7,4.8,0.557,0.568,1.8,2.2,0.793,1,2.7,3.7,1.5,0.7,0.3,0.8,0.9,9.7,22-23
Nicolas Batum,PF,34,LAC,78,19,21.9,2.1,4.9,0.42,1.6,4.1,0.391,0.5,0.8,0.563,0.583,0.4,0.6,0.708,0.8,3,3.8,1.6,0.7,0.6,0.6,1.9,6.1,22-23
Darius Bazley,C,22,TOT,43,1,14.3,1.9,4.3,0.454,0.5,1.2,0.377,1.5,3,0.485,0.508,0.9,1.6,0.543,0.8,2.4,3.2,0.9,0.5,0.8,0.6,1,5.2,22-23
Darius Bazley,C,22,OKC,36,1,15.4,2,4.4,0.449,0.5,1.3,0.4,1.5,3.1,0.469,0.506,1,1.8,0.554,0.8,2.6,3.4,0.9,0.5,0.8,0.6,1,5.4,22-23
Darius Bazley,C,22,PHO,7,0,8.7,1.7,3.6,0.48,0.3,1.1,0.25,1.4,2.4,0.588,0.52,0.3,0.7,0.4,0.7,1.6,2.3,0.9,0.4,0.7,0.7,1.3,4,22-23
Bradley Beal,SG,29,WAS,50,50,33.5,8.9,17.6,0.506,1.6,4.4,0.365,7.3,13.2,0.552,0.551,3.8,4.6,0.842,0.8,3.1,3.9,5.4,0.9,0.7,2.9,2.1,23.2,22-23
Malik Beasley,SG,26,TOT,81,27,25.8,4.6,11.6,0.395,2.9,8.1,0.357,1.7,3.4,0.484,0.52,0.6,0.8,0.769,0.4,3.1,3.5,1.5,0.8,0.1,1.1,1.3,12.7,22-23
Malik Beasley,SG,26,UTA,55,13,26.8,4.8,12.2,0.396,3.1,8.6,0.359,1.7,3.6,0.485,0.522,0.7,0.8,0.841,0.5,3.1,3.6,1.7,0.8,0.1,1.1,1.4,13.4,22-23
Malik Beasley,SG,26,LAL,26,14,23.9,4,10.3,0.392,2.5,7.2,0.353,1.5,3.1,0.481,0.515,0.5,0.8,0.619,0.3,3,3.3,1.2,0.8,0,1.2,1.2,11.1,22-23
MarJon Beauchamp,SF,22,MIL,52,11,13.5,1.8,4.7,0.395,0.9,2.7,0.331,0.9,1.9,0.485,0.492,0.5,0.7,0.73,0.7,1.5,2.2,0.7,0.4,0.1,0.9,1.4,5.1,22-23
Dāvis Bertāns,PF,30,DAL,45,1,10.9,1.5,3.6,0.431,1.2,3.1,0.39,0.3,0.4,0.737,0.603,0.3,0.3,0.867,0.2,1,1.2,0.5,0.2,0.2,0.2,1.2,4.6,22-23
Patrick Beverley,SG-PG,34,TOT,67,67,27.1,2.1,5.4,0.4,1.2,3.6,0.335,1,1.8,0.529,0.511,0.7,1,0.723,0.7,3,3.7,2.9,0.9,0.6,0.9,2.8,6.2,22-23
Patrick Beverley,SG,34,LAL,45,45,26.9,2.2,5.4,0.402,1.2,3.5,0.348,0.9,1.8,0.506,0.517,0.9,1.1,0.78,0.5,2.6,3.1,2.6,0.9,0.6,0.9,2.8,6.4,22-23
Patrick Beverley,PG,34,CHI,22,22,27.5,2.1,5.4,0.395,1.1,3.7,0.309,1,1.7,0.579,0.5,0.4,0.7,0.533,0.9,4,4.9,3.5,1,0.7,0.8,2.9,5.8,22-23
Saddiq Bey,SF,23,TOT,77,37,27.6,4.6,10.9,0.422,2,5.4,0.361,2.6,5.4,0.483,0.513,2.7,3.1,0.861,1.3,3.4,4.7,1.5,0.9,0.2,0.9,1.6,13.8,22-23
Saddiq Bey,SF,23,DET,52,30,28.8,4.7,11.7,0.404,1.9,5.6,0.345,2.8,6,0.46,0.488,3.5,4,0.861,1.1,3.5,4.7,1.6,1,0.2,1,1.7,14.8,22-23
Saddiq Bey,SF,23,ATL,25,7,25.2,4.3,9.2,0.47,2,5,0.4,2.3,4.2,0.552,0.578,1,1.2,0.862,1.6,3.2,4.8,1.4,0.8,0,0.7,1.5,11.6,22-23
Khem Birch,C,30,TOR,20,0,8.1,1,1.6,0.594,0.1,0.1,0.5,0.9,1.5,0.6,0.609,0.2,0.3,0.8,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,2.2,22-23
Goga Bitadze,C,23,TOT,38,1,12,1.8,3.3,0.552,0.2,0.7,0.231,1.7,2.6,0.636,0.576,0.6,1.1,0.548,1.6,2,3.6,1,0.4,0.7,0.6,1.7,4.4,22-23
Goga Bitadze,C,23,IND,21,0,9.6,1.3,2.5,0.519,0.2,0.7,0.286,1.1,1.8,0.605,0.558,0.5,1.1,0.458,1.2,1.1,2.3,0.9,0.4,0.5,0.6,1.6,3.3,22-23
Goga Bitadze,C,23,ORL,17,1,15,2.5,4.3,0.575,0.1,0.7,0.167,2.4,3.6,0.656,0.589,0.7,1.1,0.667,2.1,3.1,5.2,1.2,0.4,0.9,0.6,1.8,5.8,22-23
Bismack Biyombo,C,30,PHO,61,14,14.3,2,3.4,0.578,0,0,,2,3.4,0.578,0.578,0.4,1.1,0.357,1.5,2.8,4.3,0.9,0.3,1.4,0.8,1.9,4.3,22-23
Buddy Boeheim,SF,23,DET,10,0,9,0.5,2.7,0.185,0.4,2.5,0.16,0.1,0.2,0.5,0.259,0.2,0.2,1,0.2,0.4,0.6,0.4,0.2,0,0,0.6,1.6,22-23
Bogdan Bogdanović,SG,30,ATL,54,9,27.9,5.1,11.3,0.447,2.7,6.7,0.406,2.4,4.6,0.506,0.566,1.2,1.4,0.831,0.4,2.6,3.1,2.8,0.8,0.3,1.2,1.6,14,22-23
Bojan Bogdanović,PF,33,DET,59,59,32.1,7.3,14.9,0.488,2.5,6,0.411,4.8,9,0.539,0.57,4.5,5.1,0.884,0.6,3.2,3.8,2.6,0.6,0.1,2.3,1.9,21.6,22-23
Bol Bol,PF,23,ORL,70,33,21.5,3.7,6.8,0.546,0.4,1.6,0.265,3.3,5.2,0.633,0.577,1.2,1.5,0.759,1,4.8,5.8,1,0.4,1.2,1.6,1.3,9.1,22-23
Leandro Bolmaro,SF,22,UTA,14,0,4.9,0.2,1.4,0.15,0,0.3,0,0.2,1.1,0.188,0.15,0,0,,0.3,0.2,0.5,0.5,0.2,0.1,0.5,0.7,0.4,22-23
Devin Booker,SG,26,PHO,53,53,34.6,9.9,20.1,0.494,2.1,6,0.351,7.8,14.2,0.554,0.546,5.8,6.8,0.855,0.9,3.7,4.5,5.5,1,0.3,2.7,3,27.8,22-23
Brandon Boston Jr.,SF,21,LAC,22,1,11.3,2.3,5.5,0.418,0.5,1.3,0.414,1.8,4.2,0.419,0.467,1.3,1.7,0.763,0.3,1,1.4,0.9,0.4,0,0.5,1,6.5,22-23
Chris Boucher,PF,30,TOR,76,0,20,3.4,7,0.493,0.8,2.5,0.328,2.6,4.5,0.585,0.552,1.7,2.2,0.762,2.1,3.5,5.5,0.4,0.6,0.8,0.5,1.9,9.4,22-23
James Bouknight,SG,22,CHO,34,0,15.1,2,5.7,0.358,1,3.2,0.303,1.1,2.5,0.429,0.443,0.6,0.9,0.667,0.2,1.9,2.1,1.2,0.4,0.1,0.9,1.4,5.6,22-23
Jamaree Bouyea,PG,23,TOT,5,0,14.2,1.2,2.8,0.429,0.4,1.2,0.333,0.8,1.6,0.5,0.5,0.2,0.4,0.5,0.2,1,1.2,0.8,0.8,0.4,0.8,1.2,3,22-23
Jamaree Bouyea,PG,23,MIA,4,0,16.3,1.5,3.3,0.462,0.5,1.3,0.4,1,2,0.5,0.538,0.3,0.5,0.5,0.3,1,1.3,1,1,0.5,1,1.3,3.8,22-23
Jamaree Bouyea,PG,23,WAS,1,0,6,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,0,0,0,0,1,0,22-23
Tony Bradley,C,25,CHI,12,0,2.8,0.5,1,0.5,0.3,0.4,0.6,0.3,0.6,0.429,0.625,0.3,0.3,1,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.2,1.6,22-23
Malaki Branham,SG,19,SAS,66,32,23.5,4.1,9.3,0.44,1.2,3.9,0.302,2.9,5.4,0.539,0.503,0.9,1.1,0.829,0.4,2.3,2.7,1.9,0.5,0.1,1.2,1.7,10.2,22-23
Jarrell Brantley,PF,26,UTA,4,0,9.8,2,3.5,0.571,1,2.3,0.444,1,1.3,0.8,0.714,0.5,0.5,1,0.3,1.3,1.5,0.8,0,0.5,0.5,0.8,5.5,22-23
Christian Braun,SG,21,DEN,76,6,15.5,1.9,3.8,0.495,0.4,1.3,0.354,1.4,2.5,0.565,0.554,0.5,0.8,0.625,0.6,1.8,2.4,0.8,0.5,0.2,0.5,1.3,4.7,22-23
Mikal Bridges,SF-SG,26,TOT,83,83,35.7,7.1,15.3,0.468,2,5.3,0.382,5.1,9.9,0.514,0.535,3.8,4.3,0.895,1,3.4,4.4,3.3,1.1,0.7,1.5,1.9,20.1,22-23
Mikal Bridges,SF,26,PHO,56,56,36.4,6.3,13.6,0.463,1.8,4.7,0.387,4.5,9,0.503,0.529,2.8,3.1,0.897,1,3.3,4.3,3.6,1.2,0.8,1.4,2.1,17.2,22-23
Mikal Bridges,SG,26,BRK,27,27,34.2,8.9,18.6,0.475,2.5,6.7,0.376,6.3,11.9,0.531,0.543,5.9,6.6,0.894,0.9,3.6,4.5,2.7,1,0.6,1.8,1.6,26.1,22-23
Oshae Brissett,PF,24,IND,65,2,16.7,1.9,4.9,0.386,0.7,2.4,0.31,1.2,2.5,0.457,0.461,1.6,2.2,0.717,1,2.4,3.4,0.7,0.5,0.2,0.5,1.2,6.1,22-23
Malcolm Brogdon,PG,30,BOS,67,0,26,5.3,10.9,0.484,2,4.4,0.444,3.3,6.5,0.51,0.574,2.4,2.7,0.87,0.6,3.6,4.2,3.7,0.7,0.3,1.5,1.6,14.9,22-23
Dillon Brooks,SF,27,MEM,73,73,30.3,5.4,13.6,0.396,2,6,0.326,3.4,7.6,0.451,0.468,1.6,2.1,0.779,0.6,2.7,3.3,2.6,0.9,0.2,1.4,3.3,14.3,22-23
Bruce Brown,SF,26,DEN,80,31,28.5,4.5,9.3,0.483,1.1,3.2,0.358,3.3,6.1,0.548,0.545,1.5,1.9,0.758,0.8,3.3,4.1,3.4,1.1,0.6,1.5,2.4,11.5,22-23
Greg Brown III,PF,21,POR,16,0,5.8,0.7,1.8,0.393,0.1,0.4,0.143,0.6,1.3,0.476,0.411,0.3,0.8,0.417,0.1,1.1,1.2,0.2,0.3,0.3,0.4,0.8,1.8,22-23
Jaylen Brown,SF,26,BOS,67,67,35.9,10.1,20.6,0.491,2.4,7.3,0.335,7.7,13.4,0.576,0.55,3.9,5.1,0.765,1.2,5.7,6.9,3.5,1.1,0.4,2.9,2.6,26.6,22-23
Kendall Brown,SG,19,IND,6,0,6.7,0.7,1.2,0.571,0,0.2,0,0.7,1,0.667,0.571,0.2,0.3,0.5,0.3,0.7,1,0.5,0.7,0,0.3,1.5,1.5,22-23
Moses Brown,C,23,TOT,36,1,8.2,1.7,2.7,0.635,0,0,,1.7,2.7,0.635,0.635,0.9,2,0.458,1.6,2.3,3.9,0.1,0.1,0.4,0.4,1.1,4.3,22-23
Moses Brown,C,23,LAC,34,1,8.5,1.8,2.8,0.635,0,0,,1.8,2.8,0.635,0.635,1,2.1,0.458,1.7,2.4,4.1,0.1,0.1,0.4,0.4,1.1,4.6,22-23
Moses Brown,C,23,BRK,2,0,3,0,0,,0,0,0,0,0,,,0,0,,0,0,0,0,0.5,0,0.5,0.5,0,22-23
Sterling Brown,SF,27,LAL,4,0,6,0,1,0,0,0.5,,0,0.5,0,0,0,0,,0.8,1.3,2,0.5,0.8,0,0,1,0,22-23
Troy Brown Jr.,SF,23,LAL,76,45,24.5,2.6,6.1,0.43,1.4,3.7,0.381,1.2,2.4,0.505,0.545,0.4,0.5,0.872,0.8,3.2,4.1,1.3,0.8,0.2,0.6,1.6,7.1,22-23
Jalen Brunson,PG,26,NYK,68,68,35,8.6,17.6,0.491,2,4.7,0.416,6.7,12.8,0.519,0.547,4.8,5.8,0.829,0.6,3,3.5,6.2,0.9,0.2,2.1,2.2,24,22-23
Thomas Bryant,C,25,TOT,59,26,18.3,3.9,6.3,0.623,0.4,1,0.441,3.5,5.3,0.658,0.659,1.6,2.1,0.738,1.5,4.3,5.7,0.5,0.3,0.5,0.6,1.7,9.8,22-23
Thomas Bryant,C,25,LAL,41,25,21.4,4.8,7.3,0.654,0.5,1.2,0.44,4.3,6.1,0.697,0.691,2,2.6,0.741,1.6,5.2,6.8,0.7,0.3,0.6,0.7,1.9,12.1,22-23
Thomas Bryant,C,25,DEN,18,1,11.4,1.8,3.8,0.485,0.2,0.5,0.444,1.6,3.3,0.492,0.515,0.7,1,0.722,1.1,2.3,3.3,0.1,0.1,0.4,0.6,1.4,4.6,22-23
Reggie Bullock,SF,31,DAL,78,55,30.3,2.5,6,0.409,1.9,5.1,0.38,0.5,0.9,0.562,0.569,0.3,0.5,0.703,0.4,3.2,3.6,1.4,0.7,0.2,0.5,2.1,7.2,22-23
Alec Burks,SG,31,DET,51,8,22,3.9,9,0.436,1.9,4.7,0.414,2,4.3,0.459,0.544,3,3.7,0.814,0.4,2.7,3.1,2.2,0.7,0.2,1.1,1.9,12.8,22-23
Deonte Burton,PF,29,SAC,2,0,3,0,1,0,0,0.5,0,0,0.5,0,0,0,0,,0,0,0,0,0,0,0,0,0,22-23
Jared Butler,PG,22,OKC,6,1,12.8,2.5,5.3,0.469,1.2,2.3,0.5,1.3,3,0.444,0.578,0,0,,0.2,0.5,0.7,1.3,0.8,0,0.8,0.8,6.2,22-23
Jimmy Butler,PF,33,MIA,64,64,33.4,7.5,13.9,0.539,0.6,1.6,0.35,6.9,12.3,0.564,0.56,7.4,8.7,0.85,2.2,3.7,5.9,5.3,1.8,0.3,1.6,1.3,22.9,22-23
John Butler,C,20,POR,19,1,11.6,0.9,2.8,0.321,0.4,1.8,0.229,0.5,0.9,0.5,0.396,0.2,0.2,0.75,0.2,0.7,0.9,0.6,0.4,0.5,0.1,1.2,2.4,22-23
Jamal Cain,PF,23,MIA,18,0,13.3,2.1,3.7,0.561,0.4,1.1,0.35,1.7,2.6,0.652,0.614,0.9,1.2,0.773,0.8,2.1,2.9,0.7,0.6,0.1,0.3,1.2,5.4,22-23
Kentavious Caldwell-Pope,SG,29,DEN,76,76,31.3,3.8,8.3,0.462,1.8,4.2,0.423,2.1,4.1,0.502,0.569,1.4,1.6,0.824,0.5,2.3,2.7,2.4,1.5,0.5,1.1,1.9,10.8,22-23
Facundo Campazzo,PG,31,DAL,8,0,6.5,0.4,1.6,0.231,0.4,1.4,0.273,0,0.3,0,0.346,0.1,0.3,0.5,0,0.3,0.3,1.1,0.8,0,0.4,0.4,1.3,22-23
Vlatko Čančar,PF,25,DEN,60,9,14.8,1.8,3.8,0.476,0.7,1.9,0.374,1.1,1.9,0.58,0.57,0.6,0.7,0.927,0.4,1.7,2.1,1.3,0.4,0.2,0.6,1.4,5,22-23
Clint Capela,C,28,ATL,65,63,26.6,5.4,8.2,0.653,0,0,0,5.4,8.2,0.654,0.653,1.2,2,0.603,4,7.1,11,0.9,0.7,1.2,0.8,2.1,12,22-23
Vernon Carey Jr.,C,21,WAS,11,0,2.5,0.2,0.7,0.25,0,0,,0.2,0.7,0.25,0.25,0.2,0.2,1,0.3,0.7,1,0.3,0.2,0.2,0.2,0.5,0.5,22-23
Jevon Carter,PG,27,MIL,81,39,22.3,3,7,0.423,1.8,4.2,0.421,1.2,2.8,0.425,0.549,0.4,0.5,0.816,0.4,2.1,2.5,2.4,0.8,0.4,1,2,8,22-23
Wendell Carter Jr.,C,23,ORL,57,54,29.6,5.6,10.8,0.525,1.4,3.9,0.356,4.2,6.8,0.624,0.591,2.5,3.4,0.738,2.1,6.6,8.7,2.3,0.5,0.6,1.9,2.8,15.2,22-23
Michael Carter-Williams,PG,31,ORL,4,0,11,1.5,3.5,0.429,0.3,0.8,0.333,1.3,2.8,0.455,0.464,1,1.8,0.571,0.3,1,1.3,1.8,0.3,0.3,1,1.3,4.3,22-23
Alex Caruso,PG,28,CHI,67,36,23.5,1.9,4.3,0.455,0.8,2.3,0.364,1.1,2,0.556,0.551,0.9,1.1,0.808,0.6,2.3,2.9,2.9,1.5,0.7,1.1,2.4,5.6,22-23
Julian Champagnie,SF,21,TOT,17,3,18.8,3.5,7.6,0.454,1.9,4.8,0.402,1.5,2.8,0.542,0.581,0.8,1,0.824,0.6,2.9,3.5,0.6,0.4,0.3,0.6,1.5,9.7,22-23
Julian Champagnie,SF,21,PHI,2,0,3.5,0,1,0,0,0.5,0,0,0.5,0,0,0,0,,0,0,0,0,0.5,0,0,0,0,22-23
Julian Champagnie,SF,21,SAS,15,3,20.9,3.9,8.5,0.461,2.2,5.4,0.407,1.7,3.1,0.553,0.59,0.9,1.1,0.824,0.7,3.3,4,0.7,0.3,0.3,0.7,1.7,11,22-23
Justin Champagnie,SF,21,TOT,5,0,6.8,1,3,0.333,0.2,1,0.2,0.8,2,0.4,0.367,0,0,,0.6,1,1.6,0.8,0.2,0,0,0.4,2.2,22-23
Justin Champagnie,SF,21,TOR,3,0,3.7,1,1,1,0,0,,1,1,1,1,0,0,,0.3,1,1.3,0.3,0,0,0,0.3,2,22-23
Justin Champagnie,SF,21,BOS,2,0,11.5,1,6,0.167,0.5,2.5,0.2,0.5,3.5,0.143,0.208,0,0,,1,1,2,1.5,0.5,0,0,0.5,2.5,22-23
Kennedy Chandler,PG,20,MEM,36,0,7.8,1,2.3,0.422,0.1,0.4,0.133,0.9,1.9,0.485,0.434,0.2,0.4,0.462,0.3,0.8,1.1,1.6,0.3,0.1,0.5,0.4,2.2,22-23
Max Christie,SG,19,LAL,41,3,12.5,1.1,2.6,0.415,0.6,1.5,0.419,0.4,1.1,0.409,0.538,0.3,0.4,0.875,0.2,1.7,1.8,0.5,0.2,0.2,0.3,0.8,3.1,22-23
Josh Christopher,SG,21,HOU,64,2,12.3,2.4,5.1,0.465,0.3,1.4,0.236,2.1,3.8,0.55,0.497,0.7,0.9,0.75,0.3,0.8,1.1,1.1,0.5,0.2,0.9,0.9,5.8,22-23
Brandon Clarke,PF,26,MEM,56,8,19.5,4.1,6.2,0.656,0,0.1,0.167,4.1,6.1,0.665,0.658,1.8,2.4,0.723,1.6,3.9,5.5,1.3,0.6,0.7,1,2.3,10,22-23
Jordan Clarkson,SG,30,UTA,61,61,32.6,7.5,16.9,0.444,2.5,7.5,0.338,5,9.4,0.53,0.519,3.3,4,0.816,1.2,2.9,4,4.4,0.5,0.2,3,2,20.8,22-23
Nic Claxton,C,23,BRK,76,76,29.9,5.4,7.7,0.705,0,0,0,5.4,7.7,0.708,0.705,1.8,3.2,0.541,2.4,6.8,9.2,1.9,0.9,2.5,1.3,2.8,12.6,22-23
Amir Coffey,SF,25,LAC,50,9,12.5,1.1,2.9,0.386,0.2,0.8,0.275,0.9,2.1,0.429,0.424,1,1.3,0.778,0.3,0.7,1.1,1.1,0.1,0.1,0.4,1,3.4,22-23
John Collins,PF,25,ATL,71,71,30,5.1,10,0.508,1,3.4,0.292,4.1,6.6,0.619,0.557,2,2.5,0.803,1.1,5.4,6.5,1.2,0.6,1,1.1,3.1,13.1,22-23
Zach Collins,C,25,SAS,63,26,22.9,4.5,8.7,0.518,0.9,2.3,0.374,3.6,6.4,0.571,0.568,1.7,2.3,0.761,1.8,4.5,6.4,2.9,0.6,0.8,2,3.2,11.6,22-23
Chance Comanche,C,26,POR,1,0,21,3,5,0.6,0,0,,3,5,0.6,0.6,1,4,0.25,2,1,3,0,0,1,0,0,7,22-23
Mike Conley,PG,35,TOT,67,66,30.3,3.9,9.1,0.428,2,5.2,0.385,1.9,3.9,0.486,0.539,2.1,2.5,0.834,0.5,2.2,2.7,6.7,1.1,0.2,1.5,2.1,11.9,22-23
Mike Conley,PG,35,UTA,43,42,29.7,3.6,8.7,0.408,1.8,5,0.362,1.8,3.8,0.469,0.511,1.8,2.2,0.813,0.4,2.1,2.5,7.7,1,0.2,1.7,2.2,10.7,22-23
Mike Conley,PG,35,MIN,24,24,31.4,4.5,9.8,0.46,2.4,5.8,0.42,2.1,4,0.515,0.583,2.6,3,0.863,0.7,2.5,3.1,5,1.2,0.2,1.2,1.9,14,22-23
Pat Connaughton,SF,30,MIL,61,33,23.7,2.7,6.9,0.392,1.8,5.3,0.339,0.9,1.6,0.566,0.521,0.4,0.7,0.659,0.8,3.8,4.6,1.3,0.6,0.2,0.5,1.1,7.6,22-23
Xavier Cooks,PF,27,WAS,10,1,12.6,1.7,2.8,0.607,0,0.1,0,1.7,2.7,0.63,0.607,0.4,1,0.4,1.6,2.2,3.8,0.6,0.6,0.4,0.8,1.3,3.8,22-23
Robert Covington,PF,32,LAC,48,0,16.2,2.1,4.8,0.445,1.1,2.8,0.397,1,1.9,0.516,0.563,0.6,0.8,0.75,0.6,2.8,3.5,1.2,0.8,0.7,0.7,1.8,6,22-23
Torrey Craig,PF,32,PHO,79,60,24.7,2.9,6.3,0.456,1.3,3.2,0.395,1.6,3.1,0.518,0.556,0.4,0.6,0.711,1.8,3.6,5.4,1.5,0.6,0.8,0.9,2.3,7.4,22-23
Jae Crowder,PF,32,MIL,18,3,18.9,2.5,5.2,0.479,1.3,3.1,0.436,1.2,2.2,0.538,0.606,0.6,0.7,0.833,0.9,2.9,3.8,1.5,0.7,0.3,0.4,1.5,6.9,22-23
Jarrett Culver,SF,23,ATL,10,1,13.7,1.7,4.3,0.395,0.1,1.2,0.083,1.6,3.1,0.516,0.407,0.9,1.3,0.692,1,2.8,3.8,0.6,0.6,0.2,0.7,1.4,4.4,22-23
Cade Cunningham,PG,21,DET,12,12,33.3,7.8,18.7,0.415,1.4,5.1,0.279,6.3,13.6,0.466,0.453,3,3.6,0.837,1,5.2,6.2,6,0.8,0.6,3.3,2.8,19.9,22-23
Seth Curry,SG,32,BRK,61,7,19.9,3.4,7.4,0.463,1.5,3.8,0.405,1.9,3.6,0.525,0.568,0.8,0.9,0.927,0.2,1.4,1.6,1.6,0.6,0.1,0.8,1.6,9.2,22-23
Stephen Curry,PG,34,GSW,56,56,34.7,10,20.2,0.493,4.9,11.4,0.427,5.1,8.8,0.579,0.614,4.6,5,0.915,0.7,5.4,6.1,6.3,0.9,0.4,3.2,2.1,29.4,22-23
Dyson Daniels,PG,19,NOP,59,11,17.7,1.5,3.5,0.418,0.5,1.5,0.314,1,2.1,0.492,0.483,0.4,0.7,0.65,0.6,2.6,3.2,2.3,0.7,0.2,1,1.7,3.8,22-23
Anthony Davis,C,29,LAL,56,54,34,9.7,17.2,0.563,0.3,1.3,0.257,9.3,15.9,0.589,0.573,6.2,7.9,0.784,3.5,9.1,12.5,2.6,1.1,2,2.2,2.6,25.9,22-23
Johnny Davis,SG,20,WAS,28,5,15.1,2.4,6.1,0.386,0.6,2.5,0.243,1.8,3.6,0.485,0.436,0.5,1,0.519,0.4,2,2.3,1,0.4,0.3,0.6,1.7,5.8,22-23
Terence Davis,SG,25,SAC,64,5,13.1,2.4,5.7,0.423,1.4,3.8,0.366,1,1.9,0.537,0.545,0.5,0.7,0.791,0.3,1.9,2.2,1,0.7,0.2,0.8,1.6,6.7,22-23
JD Davison,SG,20,BOS,12,0,5.5,0.7,1.6,0.421,0.2,0.6,0.286,0.5,1,0.5,0.474,0.1,0.2,0.5,0.2,0.6,0.8,0.9,0.2,0.2,0.3,0.4,1.6,22-23
Darius Days,SF,23,HOU,4,0,6.3,1.3,3,0.417,0.8,2.5,0.3,0.5,0.5,1,0.542,0.5,0.5,1,0.3,1.3,1.5,0.3,0,0.3,0,0.5,3.8,22-23
Dewayne Dedmon,C,33,TOT,38,1,11.2,2,4,0.51,0.3,1,0.308,1.7,2.9,0.58,0.55,0.9,1.3,0.673,0.9,2.6,3.5,0.7,0.2,0.5,0.7,2,5.2,22-23
Dewayne Dedmon,C,33,MIA,30,0,11.7,2.1,4.3,0.496,0.4,1.2,0.297,1.8,3.1,0.576,0.539,1.1,1.5,0.727,0.9,2.7,3.6,0.5,0.2,0.5,0.6,2,5.7,22-23
Dewayne Dedmon,C,33,PHI,8,1,9.5,1.6,2.8,0.591,0.1,0.3,0.5,1.5,2.5,0.6,0.614,0.1,0.6,0.2,0.8,2.4,3.1,1.3,0.3,0.6,0.8,1.8,3.5,22-23
